date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:08	43986/43986	---M-Z	200	added ('OK')	text/html	etag:%2221610a0-abd2-55ba3870d9633-gzip%22	http://www.dodladairy.com/chillingcenters.html	C:/ball%20baba/doodla/www.dodladairy.com/chillingcenters.html	(from http://www.dodladairy.com/)
00:00:09	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Oct%202017%2018:30:10%20GMT	http://www.dodladairy.com/www.dodladairy.com	C:/ball%20baba/doodla/www.dodladairy.com/www.dodladairy.com	(from http://www.dodladairy.com/)
00:00:24	92629/92629	---M--	200	added ('OK')	application/javascript	etag:%2224e171f-169d5-536cc5cc17c2a%22	http://www.dodladairy.com/js/vendor/jquery-1.9.1.min.js	C:/ball%20baba/doodla/www.dodladairy.com/js/vendor/jquery-1.9.1.min.js	(from http://www.dodladairy.com/)
00:00:32	28418/28418	---M--	200	added ('OK')	application/javascript	etag:%2224e171e-6f02-536cc5c917afe%22	http://www.dodladairy.com/js/vendor/bootstrap.min.js	C:/ball%20baba/doodla/www.dodladairy.com/js/vendor/bootstrap.min.js	(from http://www.dodladairy.com/)
00:00:33	347/347	---M--	200	added ('OK')	application/javascript	etag:%2221a0daf-15b-536cc5d4087e3%22	http://www.dodladairy.com/js/main.js	C:/ball%20baba/doodla/www.dodladairy.com/js/main.js	(from http://www.dodladairy.com/)
00:00:34	521/521	---M--	200	added ('OK')	application/javascript	etag:%2221a0dad-209-536cc5d099173%22	http://www.dodladairy.com/js/jquery.ba-cond.min.js	C:/ball%20baba/doodla/www.dodladairy.com/js/jquery.ba-cond.min.js	(from http://www.dodladairy.com/)
00:00:36	9071/9071	---M--	200	added ('OK')	application/javascript	etag:%2221a0dae-236f-536cc5d28e125%22	http://www.dodladairy.com/js/jquery.slitslider.js	C:/ball%20baba/doodla/www.dodladairy.com/js/jquery.slitslider.js	(from http://www.dodladairy.com/)
00:00:43	37405/37405	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2221a0da8-921d-536cc5bddca96%22	http://www.dodladairy.com/font/fontawesome-webfontf77b.eot?v=3.2.1	C:/ball%20baba/doodla/www.dodladairy.com/font/fontawesome-webfontf77bf77b.eot	(from http://www.dodladairy.com/css/font-awesome.min.css)
00:00:50	37405/37405	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2221a0da5-921d-536cc5bb61287%22	http://www.dodladairy.com/font/fontawesome-webfontd41d.eot?	C:/ball%20baba/doodla/www.dodladairy.com/font/fontawesome-webfontd41dd41d.eot	(from http://www.dodladairy.com/css/font-awesome.min.css)
00:00:57	43572/43572	---M--	200	added ('OK')	application/x-font-woff	etag:%2221a0daa-aa34-536cc5c34f730%22	http://www.dodladairy.com/font/fontawesome-webfontf77b.woff?v=3.2.1	C:/ball%20baba/doodla/www.dodladairy.com/font/fontawesome-webfontf77bf77b.woff	(from http://www.dodladairy.com/css/font-awesome.min.css)
00:01:03	197829/197829	---M--	200	added ('OK')	image/svg+xml	etag:%2221a0da4-304c5-536cc5b920fb2%22	http://www.dodladairy.com/font/fontawesome-webfont.svg	C:/ball%20baba/doodla/www.dodladairy.com/font/fontawesome-webfont.svg	(from http://www.dodladairy.com/css/font-awesome.min.css)
00:01:05	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Oct%202017%2018:31:06%20GMT	http://www.dodladairy.com/images/logo.png	C:/ball%20baba/doodla/www.dodladairy.com/images/logo.39.delayed	(from http://www.dodladairy.com/css/main.css)
00:01:08	79076/79076	---M--	200	added ('OK')	application/x-font-ttf	etag:%2221a0da9-134e4-536cc5c0c77e9%22	http://www.dodladairy.com/font/fontawesome-webfontf77b.ttf?v=3.2.1	C:/ball%20baba/doodla/www.dodladairy.com/font/fontawesome-webfontf77bf77b.ttf	(from http://www.dodladairy.com/css/font-awesome.min.css)
00:01:25	126840/126840	---M--	200	added ('OK')	image/jpeg	etag:%2224e1811-1ef78-536cc781005db%22	http://www.dodladairy.com/images/sample/slider/002.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/002.jpg	(from http://www.dodladairy.com/css/sl-slide.css)
00:01:29	86471/86471	---M--	200	added ('OK')	image/jpeg	etag:%2224e00b1-151c7-556b2783e6fc3%22	http://www.dodladairy.com/images/sample/slider/slider-03.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/slider-03.jpg	(from http://www.dodladairy.com/css/sl-slide.css)
00:01:31	150737/150737	---M--	200	added ('OK')	image/jpeg	etag:%2224e00b0-24cd1-556b278021659%22	http://www.dodladairy.com/images/sample/slider/slider-04.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/slider-04.jpg	(from http://www.dodladairy.com/css/sl-slide.css)
00:01:39	53676/53676	---M--	200	added ('OK')	image/jpeg	etag:%2224e1817-d1ac-536cc795e1237%22	http://www.dodladairy.com/images/sample/slider/inner_02.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/inner_02.jpg	(from http://www.dodladairy.com/directors.html)
00:01:48	104171/104171	---M--	200	added ('OK')	image/jpeg	etag:%2224e1818-196eb-5497e176fb63a%22	http://www.dodladairy.com/images/sample/slider/inner_03.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/inner_03.jpg	(from http://www.dodladairy.com/our-values.html)
00:01:54	182542/182542	---M--	200	added ('OK')	image/jpeg	etag:%2224e00b2-2c90e-556b2787ac545%22	http://www.dodladairy.com/images/sample/slider/slider-02.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/slider-02.jpg	(from http://www.dodladairy.com/css/sl-slide.css)
00:01:55	37725/37725	---M--	200	added ('OK')	image/jpeg	etag:%2224e2115-935d-536cc7eed6874%22	http://www.dodladairy.com/images/sample/slider/inner_31.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/inner_31.jpg	(from http://www.dodladairy.com/corporatebrochure.html)
00:02:21	265277/265277	---M--	200	added ('OK')	image/png	etag:%2224e212c-40c3d-536cca4c220d6%22	http://www.dodladairy.com/images/ourValues.png	C:/ball%20baba/doodla/www.dodladairy.com/images/ourValues.png	(from http://www.dodladairy.com/our-values.html)
00:02:35	349245/349245	---M--	200	added ('OK')	image/jpeg	etag:%2224e0299-5543d-55b44234acc48%22	http://www.dodladairy.com/images/sample/slider/inner_002.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/inner_002.jpg	(from http://www.dodladairy.com/our-team.html)
00:02:51	712182/712182	UR-M--	200	added ('Partial%20Content')	application/pdf	etag:%2224e0042-addf6-5504103c7f0fa%22	http://www.dodladairy.com/images/Vigil-Mechanism.pdf	C:/ball%20baba/doodla/www.dodladairy.com/images/Vigil-Mechanism.pdf	(from http://www.dodladairy.com/)
00:02:56	793092/793092	UR-M--	200	added ('Partial%20Content')	application/pdf	etag:%2224e0016-c1a04-54fcb03190c2f%22	http://www.dodladairy.com/images/CSR-DDL-V.0.2.pdf	C:/ball%20baba/doodla/www.dodladairy.com/images/CSR-DDL-V.0.2.pdf	(from http://www.dodladairy.com/)
00:02:58	9313/9313	---M--	200	added ('OK')	image/jpeg	etag:%2224e1801-2461-536cc75c96ff4%22	http://www.dodladairy.com/images/sample/clients/001.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/clients/001.jpg	(from http://www.dodladairy.com/products.html)
00:03:00	10043/10043	---M--	200	added ('OK')	image/jpeg	etag:%2224e1802-273b-536cc75f14f13%22	http://www.dodladairy.com/images/sample/clients/002.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/clients/002.jpg	(from http://www.dodladairy.com/products.html)
